epoch,LightGCN,LightGCN+
1,0,0.122641509
2,0,0.122641509
3,0,0.122641509
4,0,0.122641509
5,0,0.122641509
6,0,0.122641509
7,0.018867925,0.122641509
8,0.037735849,0.122641509
9,0.047169811,0.122641509
10,0.047169811,0.122641509
11,0.056603774,0.122641509
12,0.056603774,0.122641509
13,0.056603774,0.122641509
14,0.075471698,0.122641509
15,0.075471698,0.122641509
16,0.075471698,0.122641509
17,0.075471698,0.122641509
18,0.075471698,0.122641509
19,0.075471698,0.122641509
20,0.075471698,0.122641509
21,0.075471698,0.122641509
22,0.075471698,0.122641509
23,0.075471698,0.122641509
24,0.075471698,0.122641509
25,0.075471698,0.122641509
26,0.075471698,0.122641509
27,0.075471698,0.122641509
28,0.075471698,0.103773585
29,0.075471698,0.103773585
30,0.075471698,0.103773585
